manufacturer,permit_number,vin_number,total_disengagements,total_miles,month,miles,month_id,year,disengagements,cumsum_mile,cumsum_disengagements
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,Mar 2021,0.0,2021-03-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,Mar 2021,0.0,2021-03-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,1.0,830 .04,Mar 2021,0.0,2021-03-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,Apr 2021,0.0,2021-04-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,637.5,Apr 2021,0.0,2021-04-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,Apr 2021,0.0,2021-04-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,Apr 2021,0.0,2021-04-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,1.0,830 .04,Apr 2021,0.0,2021-04-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,May 2021,0.0,2021-05-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,637.5,May 2021,0.0,2021-05-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,May 2021,0.0,2021-05-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,May 2021,0.0,2021-05-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,1.0,830 .04,May 2021,0.0,2021-05-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,Jun 2021,0.0,2021-06-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,637.5,Jun 2021,0.0,2021-06-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,Jun 2021,0.0,2021-06-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,Jun 2021,0.0,2021-06-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,1.0,830 .04,Jun 2021,338.2,2021-06-01,2021,1.0,338.2,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,July 2021,0.0,2021-07-01,2021,0.0,338.2,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,637.5,July 2021,0.0,2021-07-01,2021,0.0,338.2,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,July 2021,0.0,2021-07-01,2021,0.0,338.2,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,July 2021,0.0,2021-07-01,2021,0.0,338.2,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,1.0,830 .04,July 2021,26.6,2021-07-01,2021,0.0,364.8,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,Aug 2021,0.0,2021-08-01,2021,0.0,364.8,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,637.5,Aug 2021,281.4,2021-08-01,2021,0.0,646.2,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,Aug 2021,0.0,2021-08-01,2021,0.0,646.2,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,Aug 2021,0.0,2021-08-01,2021,0.0,646.2,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,1.0,830 .04,Aug 2021,184.2,2021-08-01,2021,0.0,830.4,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,Sep 2021,0.0,2021-09-01,2021,0.0,830.4,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,637.5,Sep 2021,120.7,2021-09-01,2021,0.0,951.1,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,Sep 2021,0.0,2021-09-01,2021,0.0,951.1,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,Sep 2021,0.0,2021-09-01,2021,0.0,951.1,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,1.0,830 .04,Sep 2021,75.1,2021-09-01,2021,0.0,1026.2,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,Oct 2021,0.0,2021-10-01,2021,0.0,1026.2,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,637.5,Oct 2021,121.1,2021-10-01,2021,0.0,1147.3,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,Oct 2021,0.0,2021-10-01,2021,0.0,1147.3,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,Oct 2021,0.0,2021-10-01,2021,0.0,1147.3,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,1.0,830 .04,Oct 2021,123.7,2021-10-01,2021,0.0,1271.0,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,Nov 2021,0.0,2021-11-01,2021,0.0,1271.0,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,637.5,Nov 2021,114.3,2021-11-01,2021,0.0,1385.3,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,Nov 2021,0.0,2021-11-01,2021,0.0,1385.3,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,Nov 2021,0.0,2021-11-01,2021,0.0,1385.3,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,1.0,830 .04,Nov 2021,82.2,2021-11-01,2021,0.0,1467.5,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N71LR252232,0.0,141.6,Dec 2021,0.0,2021-12-01,2021,0.0,1467.5,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N77LR190366,0.0,824.4,Dec 2021,168.0,2021-12-01,2021,0.0,1635.5,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,Dec 2021,0.0,2021-12-01,2021,0.0,1635.5,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,368.9,Dec 2021,41.8,2021-12-01,2021,0.0,1677.3,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,Dec 2021,0.0,2021-12-01,2021,0.0,1677.3,1.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,Dec 2021,0.0,2021-12-01,2021,0.0,1677.3,1.0
